baseMean,log2FoldChange,lfcSE,padj,id,sig_a05,upregulated,gene_name,phase
2.0,2.11877847604648e-07,0.252253974264952,,NM_032291,False,True,SGIP1,G2MvsS
3861.75,0.114829060049112,0.0605766548093592,0.122499513388944,NM_013943,False,True,CLIC4,G2MvsS
411.0,0.0611887368587792,0.123772493788287,0.74038768213421,NM_001145277,False,True,NECAP2,G2MvsS
154.75,0.712162838420033,0.183382785976404,0.0004895193734642,NM_052998,True,True,ADC,G2MvsS
130.0,-1.09120034273574,0.199255369461143,3.67281684600539e-07,NM_001080397,True,False,SLC45A1,G2MvsS
6874.75,-0.293565140175322,0.0546922216524167,6.50834231740373e-07,NM_030806,True,False,C1orf21,G2MvsS
718.25,0.569311187533701,0.0999338398612544,1.12298669968516e-07,NM_021222,True,True,PRUNE,G2MvsS
935.25,0.891011302208884,0.102580279659765,8.29409861781537e-17,NM_199454,True,True,PRDM16,G2MvsS
7071.0,0.0647853832766374,0.062482289359127,0.442796543826323,NM_015215,False,True,CAMTA1,G2MvsS
1843.25,0.264724687504391,0.0944336037105204,0.0153634688818155,NM_002744,True,True,PRKCZ,G2MvsS
1.0,0.0,0.209053377690581,,NM_001039361,False,False,PRAMEF10,G2MvsS
461.75,0.436563905195772,0.11504209916017,0.0006779358268782,NM_017449,True,True,EPHB2,G2MvsS
550.0,0.583633597023832,0.14256928919331,0.0002203412106643,NM_032409,True,True,PINK1,G2MvsS
1666.0,-0.0680951256767336,0.0919386730619489,0.601848887646828,NM_006559,False,False,KHDRBS1,G2MvsS
1456.75,0.622679069629095,0.0771356404307403,1.3109319512834901e-14,NM_004437,True,True,EPB41,G2MvsS
988.75,0.0120570865533217,0.116203431736335,0.952230268907256,NM_006600,False,True,NUDC,G2MvsS
3578.0,0.165585182564748,0.0754732618508382,0.0674510990735008,NM_005119,False,True,THRAP3,G2MvsS
11519.75,-0.208921512329216,0.0600933982049118,0.0020387522112087,NM_012090,True,False,MACF1,G2MvsS
4626.25,0.372231181634188,0.110879186057303,0.0030048340424481,NM_002840,True,True,PTPRF,G2MvsS
1235.5,0.0630385953718375,0.095439041614896,0.645625466274863,NM_018150,False,True,RNF220,G2MvsS
366.75,-0.405843756856494,0.135185800530151,0.0088304490627668,NM_153035,True,False,TCEANC2,G2MvsS
1341.5,-0.150582964241078,0.0854384207862866,0.156047578232537,NM_001193617,False,False,SCP2,G2MvsS
3179.5,0.308508117373989,0.0791799570433412,0.0004672634499044,NM_018291,True,True,FGGY,G2MvsS
310.0,-0.346637514029021,0.154083824442708,0.0597380325012102,NM_005595,False,False,NFIA,G2MvsS
941.25,-0.211310218148219,0.10026564092627,0.0807934895973105,NM_001017415,False,False,USP1,G2MvsS
842.75,0.457755160797289,0.128955777469304,0.0015936557581157,NM_002303,True,True,LEPR,G2MvsS
755.75,0.215887478069561,0.105308597309759,0.0907267933633233,NM_020925,False,True,CACHD1,G2MvsS
17.0,0.0913641788662378,0.352059184221524,0.871319122445124,NM_020794,False,True,LRRC7,G2MvsS
10.0,0.324161293221172,0.350756145896775,0.502416615703074,NM_001160011,False,True,ST6GALNAC3,G2MvsS
1.0,0.0,0.209053377690581,,NR_024602,False,False,CLCA4,G2MvsS
264.25,-0.748622955284562,0.160296859592427,1.9230830872949e-05,NM_032270,True,False,LRRC8C,G2MvsS
3.75,0.575669454882269,0.306030373796786,,NR_033998,False,True,LOC729970,G2MvsS
279.5,-0.182722172362143,0.180005795219517,0.453931320357922,NM_014917,False,False,NTNG1,G2MvsS
4349.75,-0.0327395907084408,0.0628199461368311,0.725517729537562,NM_006496,False,False,GNAI3,G2MvsS
3639.75,-0.533226371875243,0.0708075091723209,8.09415065738148e-13,NM_002884,True,False,RAP1A,G2MvsS
432.5,-0.339093679888903,0.147616289194307,0.0538381603643209,NM_006784,False,False,WDR3,G2MvsS
369.25,-2.48084324703631,0.167731097518351,1.85283673802187e-47,NM_001201325,True,False,PDZK1,G2MvsS
34889.25,-0.0462083831410249,0.099520442273321,0.755971376244435,NM_001039703,False,False,NBPF10,G2MvsS
71.0,-0.123448703282113,0.302159721280405,0.787701180930831,NM_001037675,False,False,NBPF9,G2MvsS
11280.25,-0.155697075425193,0.0544498370492943,0.013220901128354,NM_001204963,True,False,PBX1,G2MvsS
8.5,5.39293093623838e-07,0.323406351395423,0.999999612575581,NM_021642,False,True,FCGR2A,G2MvsS
24.5,0.122926523277793,0.325090930044707,0.804298442867257,NR_036683,False,True,LOC440700,G2MvsS
2.75,-0.0509654765053927,0.279290944414207,,NM_025063,False,False,C1orf129,G2MvsS
742.75,0.737707060226597,0.124371873383588,2.97413402529628e-08,NM_015569,True,True,DNM3,G2MvsS
8.0,0.393154469379084,0.349255358251633,0.399459084165653,NM_022093,False,True,TNN,G2MvsS
3820.0,-1.98109832011712,0.0713632738609667,1.36459102548637e-166,NM_021165,True,False,FAM5B,G2MvsS
699.75,-0.284449489839227,0.102044835792797,0.0160221669386108,NM_001252511,True,False,SOAT1,G2MvsS
3047.25,-0.10374136248138,0.0875622330758946,0.371370666909479,NM_201568,False,False,SMG7,G2MvsS
61.25,-0.349126963436716,0.304144595250567,0.388789190463136,NM_001137669,False,False,RGSL1,G2MvsS
2924.75,-0.0823799605866383,0.0857785631148889,0.482553503388012,NM_170692,False,False,RASAL2,G2MvsS
6600.0,0.340570268944857,0.0671826616176686,2.93031712565209e-06,NM_133494,True,True,NEK7,G2MvsS
2980.0,0.185280519749487,0.0602282470557058,0.0071342768648337,NM_015326,True,True,SRGAP2,G2MvsS
842.0,-0.245787232566479,0.0987136955583776,0.0341412302926646,NM_001167858,True,False,PPP1R12B,G2MvsS
1122.25,0.36086525735173,0.095461363274622,0.0007158289115144,NM_001170587,True,True,HHAT,G2MvsS
277.75,0.134745605440177,0.164311756137753,0.559333731035266,NR_002753,False,True,RNU5F-1,G2MvsS
2990.75,-0.830154637907167,0.0882182835402308,1.3426167954416502e-19,NM_001373,True,False,DNAH14,G2MvsS
1797.25,0.199169186430081,0.0740465622735346,0.0207259254813881,NR_028395,True,True,TSNAX-DISC1,G2MvsS
2554.0,0.0654515926943815,0.0697077003967611,0.494582623527068,NM_000254,False,True,MTR,G2MvsS
2.0,0.211022343574287,0.247238580011513,,NR_027247,False,True,LOC100130331,G2MvsS
97.5,-0.104994113223283,0.224013162558021,0.75350974285702,NM_018012,False,False,KIF26B,G2MvsS
163.0,-0.0483371798367271,0.201968423352815,0.881592791349076,NR_047525,False,False,LOC643837,G2MvsS
983.0,0.167584513646033,0.110684246062862,0.235117361041105,NM_003036,False,True,SKI,G2MvsS
10.75,0.222581213336744,0.352469026216426,0.661329529708573,NM_003820,False,True,TNFRSF14,G2MvsS
199.5,0.552933049930074,0.163899672276293,0.0028528757028352,NM_004402,True,True,DFFB,G2MvsS
1.75,0.170152484203338,0.241724813862406,,NM_152492,False,True,CCDC27,G2MvsS
177.25,-0.6319546642485,0.187165555594548,0.0028283860747306,NM_018836,True,False,AJAP1,G2MvsS
705.0,-0.225520665479813,0.114093326813877,0.10484559872779,NM_001199860,False,False,KCNAB2,G2MvsS
1094.25,0.487931591556142,0.089016507433518,3.58451274483332e-07,NM_016831,True,True,PER3,G2MvsS
1065.5,-0.0120075507627352,0.0848464467725945,0.932744102256461,NM_004285,False,False,H6PD,G2MvsS
4865.75,0.411514957077072,0.0800233817825456,2.03774421785131e-06,NM_001105562,True,True,UBE4B,G2MvsS
3014.75,-0.0182203591828553,0.0738662348250935,0.87832947650048,NM_183416,False,False,KIF1B,G2MvsS
3337.0,0.233239246719327,0.0778770854631054,0.0090139168545389,NM_004565,True,True,PEX14,G2MvsS
66.5,-0.107416814326173,0.268505873630068,0.792775494543171,NM_001040195,False,False,AGTRAP,G2MvsS
6367.75,-0.0691635811716034,0.0606555638644163,0.392336267675089,NM_018156,False,False,VPS13D,G2MvsS
1033.5,-0.172874271407506,0.0947703378143314,0.13989212046287,NM_014874,False,False,MFN2,G2MvsS
21.0,-0.775589721119304,0.340598281090515,0.0563189699192859,NM_001243,False,False,TNFRSF8,G2MvsS
1.75,-0.0580422398394483,0.245443798365855,,NM_001013630,False,False,AADACL4,G2MvsS
229.75,-1.15643273071043,0.164795512701946,3.11092836115327e-11,NM_052929,True,False,FHAD1,G2MvsS
2317.25,-0.154943643450531,0.0868210302224963,0.150129975047704,NM_015209,False,False,KAZN,G2MvsS
1138.25,0.0455044024520703,0.0898826829419555,0.733677370367477,NM_015291,False,True,DNAJC16,G2MvsS
3305.0,0.264320076346978,0.0859562687799704,0.0071597041769953,NM_015001,True,True,SPEN,G2MvsS
191.25,-2.05534907939489,0.196465495057324,4.6131799370122405e-24,NM_013358,True,False,PADI1,G2MvsS
5468.75,0.368907509614245,0.103152547754926,0.0014566206229297,NM_018125,True,True,ARHGEF10L,G2MvsS
12.75,0.478321691398847,0.352873752193335,0.296001011011832,NM_030812,False,True,ACTL8,G2MvsS
17.75,-0.488992404770241,0.342683587191136,0.266986329280579,NM_032880,False,False,IGSF21,G2MvsS
18.5,-0.452629597357052,0.349731777716988,0.322275911194988,NM_002584,False,False,PAX7,G2MvsS
5.5,-0.149573363839251,0.318264982143822,,NM_001177520,False,False,ALPL,G2MvsS
3245.25,-0.0985853086315555,0.0635703528715642,0.221878251971437,NM_001791,False,False,CDC42,G2MvsS
1592.5,-0.244441344649821,0.0831419765533497,0.0105415723843153,NM_014870,True,False,ZBTB40,G2MvsS
2.75,-0.0560004688414608,0.289254154181129,,NM_001013693,False,False,LDLRAD2,G2MvsS
766.75,0.423160514910764,0.0957395573385014,5.80531927421674e-05,NM_020448,True,True,NIPAL3,G2MvsS
131.0,-0.474724787420514,0.222686400559028,0.0767603012514501,NM_001010980,False,False,C1orf130,G2MvsS
1013.5,-0.422912173604151,0.099487659650486,0.0001176664415212,NM_020379,True,False,MAN1C1,G2MvsS
1241.25,0.171752326546257,0.0792719684457864,0.0714803969480159,NM_018202,False,True,TMEM57,G2MvsS
735.5,0.114589368680266,0.11423501688908,0.459755613188563,NM_002953,False,True,RPS6KA1,G2MvsS
43.0,0.117411593682222,0.32385096636841,0.812568911211425,NM_031286,False,True,SH3BGRL3,G2MvsS
1.5,-0.122247345058884,0.234395546064449,,NM_024674,False,False,LIN28A,G2MvsS
604.25,-0.0358800513563169,0.121457925538081,0.850180257126164,NR_037576,False,False,TMEM222,G2MvsS
2549.75,0.045740172302206,0.0636637345226523,0.614153553556215,NM_001048183,False,True,PHACTR4,G2MvsS
4348.25,0.357272824304889,0.0684577135218006,1.3901023135225e-06,NR_036473,True,True,SNHG3,G2MvsS
9586.5,0.27795008476664,0.0777785945933032,0.0014699211979068,NR_030726,True,True,RCC1,G2MvsS
2880.25,0.0527770663051507,0.0987748703452465,0.718286255453582,NM_005704,False,True,PTPRU,G2MvsS
667.5,0.330793669094346,0.106722785930945,0.0066675301089445,NR_034182,True,True,MATN1-AS1,G2MvsS
1073.25,-0.166363577531025,0.105364629460688,0.212509225373886,NM_022753,False,False,S100PBP,G2MvsS
1607.5,0.195133113173421,0.0931949343077369,0.0831399875109926,NM_012316,False,True,KPNA6,G2MvsS
1377.0,0.195814301151914,0.116804045183763,0.181031547278137,NM_001040441,False,True,ZBTB8A,G2MvsS
687.25,0.133953059409963,0.113480769745163,0.373372686268742,NM_004964,False,True,HDAC1,G2MvsS
246.25,-0.534534517067202,0.148618962602715,0.0013584423180328,NM_145238,True,False,ZSCAN20,G2MvsS
1.0,0.0,0.209053377690581,,NR_038372,False,False,LOC402779,G2MvsS
2389.0,-0.130658355074864,0.0637102407219749,0.0905953397701298,NM_024852,False,False,EIF2C3,G2MvsS
3133.25,0.0153036695124678,0.0624150605651052,0.878584862782535,NM_005095,False,True,ZMYM4,G2MvsS
730.25,0.353781452567926,0.107854313787371,0.0038310974570095,NM_017629,True,True,EIF2C4,G2MvsS
113.25,0.617216394342714,0.20581212892365,0.0089103770107718,NM_178548,True,True,TFAP2E,G2MvsS
2333.5,0.0098048219977986,0.0660433212325464,0.929267046219492,NM_012421,False,True,RLF,G2MvsS
70.75,-0.163895465009579,0.255684856446214,0.65618647393344,NM_181809,False,False,BMP8A,G2MvsS
155.5,0.239580827524116,0.191822023621359,0.342113314965084,NM_172163,False,True,KCNQ4,G2MvsS
199.75,0.0102417879485836,0.160508968479136,0.969616636905118,NM_173642,False,True,RIMKLA,G2MvsS
147.75,-0.158671819808974,0.183122699840147,0.53441646474333,NM_001242750,False,False,LOC100129924,G2MvsS
3.25,0.0507595596516394,0.29649266542691,,NM_005424,False,True,TIE1,G2MvsS
345.75,0.532163953773818,0.203658462554519,0.0252842617526731,NM_001167965,True,True,WDR65,G2MvsS
2106.75,-0.190634416663013,0.105843021434683,0.14564383037956,NM_015284,False,False,SZT2,G2MvsS
1673.25,-0.331157409424977,0.0808119617990035,0.0002166733064296,NM_001270463,True,False,ST3GAL3,G2MvsS
220.25,-0.387719303338373,0.166787285304177,0.050536819168307,NM_014652,False,False,IPO13,G2MvsS
1061.25,-0.648187434813938,0.0896653395626855,7.150992418036249e-12,NM_006845,True,False,KIF2C,G2MvsS
5006.5,-0.427604820049951,0.0548833981845647,1.1519570686058e-13,NM_015112,True,False,MAST2,G2MvsS
323.75,0.019118753084053,0.148845902592145,0.939432090024545,NM_016308,False,True,CMPK1,G2MvsS
3.0,0.204238955442938,0.28735984780072,,NM_178134,False,True,CYP4Z1,G2MvsS
7.25,0.136429199263776,0.314518720961587,0.774015962398988,NM_001144777,False,True,ELAVL4,G2MvsS
4650.75,0.272781266268162,0.0738944436569887,0.0009778696680231,NM_148909,True,True,OSBPL9,G2MvsS
1259.25,0.117338353348897,0.10002363219869,0.376546816219394,NM_024646,False,True,ZYG11B,G2MvsS
1905.75,0.320671817837005,0.0735432794802309,7.48853871394386e-05,NM_007324,True,True,ZFYVE9,G2MvsS
988.25,0.162250818434597,0.103234067510037,0.214837517213735,NM_001004339,False,True,ZYG11A,G2MvsS
219.0,0.0846589759942944,0.194139615500367,0.772524551309326,NM_147161,False,True,ACOT11,G2MvsS
855.25,-0.0470083333003493,0.104249913994587,0.763211638002049,NR_037640,False,False,HEATR8-TTC4,G2MvsS
