gene_name,G1/S,G2,G2/M,M/G1,S phase
BIRC5,False,False,True,False,False
BRCA1,False,False,False,False,True
BUB1,False,False,True,False,False
BUB1B,False,False,True,False,False
CCNA2,False,True,False,False,False
CCNB1,False,False,True,False,False
CCNB2,False,False,True,False,False
CCNE1,True,False,False,False,False
CCNE2,True,False,False,False,False
CCNF,False,True,False,False,False
CDC2,False,True,False,False,False
CDC20,False,False,True,False,False
CDC25A,True,False,False,False,False
CDC25B,False,False,True,False,False
CDC25C,False,True,False,False,False
CDC45L,False,False,False,False,True
CDC6,True,False,False,False,False
CDKN2C,False,True,False,False,False
"CDKN2D, p19",False,False,True,False,False
CDKN3,False,False,False,True,False
CENPA,False,False,True,False,False
CENPF,False,False,True,False,False
CKS1,False,True,False,False,False
CKS2,False,False,True,False,False
DHFR,False,False,False,False,True
E2F1,True,False,False,False,False
E2F5,False,False,True,False,False
MCM2,True,False,False,False,False
MCM6,True,False,False,False,False
MSH2,True,False,False,False,False
NASP,True,False,False,False,False
NPAT,True,False,False,False,False
PCNA,True,False,False,False,False
PLK,False,False,True,False,False
RRM1,False,False,False,False,True
RRM2,False,False,False,False,True
SLBP,True,False,False,False,False
STK15,False,False,True,False,False
TOP2A,False,True,False,False,False
TYMS,False,False,False,False,True
